-- Insert data into 'class' table
INSERT INTO class (class_id, class_name, year, class_type) VALUES
('C001', 'Ibnu Sina', 1, 'Regular'),
('C002', 'Ibnu Sina', 2, 'Regular'),
('C003', 'Ibnu Sina', 3, 'Regular'),
('C004', 'Ibnu Sina', 4, 'Regular'),
('C005', 'Ibnu Sina', 5, 'Regular'),
('C006', 'Ibnu Khaldun', 1, 'Regular'),
('C007', 'Ibnu Khaldun', 2, 'Regular'),
('C008', 'Ibnu Khaldun', 3, 'Regular'),
('C009', 'Ibnu Khaldun', 4, 'Regular'),
('C010', 'Ibnu Khaldun', 5, 'Regular'),
('C011', 'Ibnu Batutah', 1, 'Regular'),
('C012', 'Ibnu Batutah', 2, 'Regular'),
('C013', 'Ibnu Batutah', 3, 'Regular'),
('C014', 'Ibnu Batutah', 4, 'Regular'),
('C015', 'Ibnu Batutah', 5, 'Regular'),
('C016', 'Ibnu Rusydi', 1, 'Regular'),
('C017', 'Ibnu Rusydi', 2, 'Regular'),
('C018', 'Ibnu Rusydi', 3, 'Regular'),
('C019', 'Ibnu Rusydi', 4, 'Regular'),
('C020', 'Ibnu Rusydi', 5, 'Regular');


-- Insert data into 'staff' table
INSERT INTO staff (staff_id, staff_name, staff_username, staff_pass, staff_type) VALUES
('ST060', 'Waleed Ghani', 'waleedghani', '200820e3227815ed1756a6b531e7e0d2', 'C012'),
('ST061', 'Yahya Hassan', 'yahyahassan', '200820e3227815ed1756a6b531e7e0d2', 'C013'),
('ST062', 'Zaid Idris', 'zaididris', '200820e3227815ed1756a6b531e7e0d2', 'C013'),
('ST063', 'Ayman Mahdi', 'aymanmahdi', '200820e3227815ed1756a6b531e7e0d2', 'C013'),
('ST064', 'Bilal Faisal', 'bilalfaisal', '200820e3227815ed1756a6b531e7e0d2', 'C013'),
('ST065', 'Dawud Karim', 'dawudkarim', '200820e3227815ed1756a6b531e7e0d2', 'C013'),
('ST066', 'Emad Ahmad', 'emadahmad', '200820e3227815ed1756a6b531e7e0d2', 'C014'),
('ST067', 'Fahim Latif', 'fahimlatif', '200820e3227815ed1756a6b531e7e0d2', 'C014'),
('ST068', 'Ghufran Syed', 'ghufransyed', '200820e3227815ed1756a6b531e7e0d2', 'C014'),
('ST069', 'Hisham Arif', 'hishamarif', '200820e3227815ed1756a6b531e7e0d2', 'C014'),
('ST070', 'Imad Razi', 'imadrazi', '200820e3227815ed1756a6b531e7e0d2', 'C014'),
('ST071', 'Jafar Naim', 'jafarnaim', '200820e3227815ed1756a6b531e7e0d2', 'C015'),
('ST072', 'Kamran Iqbal', 'kamraniqbal', '200820e3227815ed1756a6b531e7e0d2', 'C015'),
('ST073', 'Luqman Rahman', 'luqmanrahman', '200820e3227815ed1756a6b531e7e0d2', 'C015'),
('ST074', 'Mustafa Omar', 'mustafaomar', '200820e3227815ed1756a6b531e7e0d2', 'C015'),
('ST075', 'Najeeb Ghazi', 'najeebghazi', '200820e3227815ed1756a6b531e7e0d2', 'C015'),
('ST076', 'Omar Bashir', 'omarbashir', '200820e3227815ed1756a6b531e7e0d2', 'C016'),
('ST077', 'Qadir Faris', 'qadirfaris', '200820e3227815ed1756a6b531e7e0d2', 'C016'),
('ST078', 'Rashid Hadi', 'rashidhadi', '200820e3227815ed1756a6b531e7e0d2', 'C016'),
('ST079', 'Saqib Ibrahim', 'saqibibrahim', '200820e3227815ed1756a6b531e7e0d2', 'C016'),
('ST080', 'Tahir Jamal', 'tahirjamal', '200820e3227815ed1756a6b531e7e0d2', 'C016'),
('ST081', 'Usman Kamil', 'usmankamil', '200820e3227815ed1756a6b531e7e0d2', 'C017'),
('ST082', 'Waseem Naeem', 'waseemnaeem', '200820e3227815ed1756a6b531e7e0d2', 'C017'),
('ST083', 'Yasir Osman', 'yasirosman', '200820e3227815ed1756a6b531e7e0d2', 'C017'),
('ST084', 'Zafar Qasim', 'zafarqasim', '200820e3227815ed1756a6b531e7e0d2', 'C017'),
('ST085', 'Amir Rafiq', 'amirrafiq', '200820e3227815ed1756a6b531e7e0d2', 'C017'),
('ST086', 'Bashir Sami', 'bashirsami', '200820e3227815ed1756a6b531e7e0d2', 'C018'),
('ST087', 'Faris Tariq', 'faristariq', '200820e3227815ed1756a6b531e7e0d2', 'C018'),
('ST088', 'Ghazi Waleed', 'ghaziwaleed', '200820e3227815ed1756a6b531e7e0d2', 'C018'),
('ST089', 'Hadi Usayd', 'hadiusayd', '200820e3227815ed1756a6b531e7e0d2', 'C018'),
('ST090', 'Ibrahim Yahya', 'ibrahimyahya', '200820e3227815ed1756a6b531e7e0d2', 'C018'),
('ST091', 'Jamal Zaid', 'jamalzaid', '200820e3227815ed1756a6b531e7e0d2', 'C019'),
('ST092', 'Kamil Ayman', 'kamilayman', '200820e3227815ed1756a6b531e7e0d2', 'C019'),
('ST093', 'Latif Bilal', 'latifbilal', '200820e3227815ed1756a6b531e7e0d2', 'C019'),
('ST094', 'Mahmoud Dawud', 'mahmouddawud', '200820e3227815ed1756a6b531e7e0d2', 'C019'),
('ST095', 'Naeem Emad', 'naeememad', '200820e3227815ed1756a6b531e7e0d2', 'C019'),
('ST096', 'Osman Fahim', 'osmanfahim', '200820e3227815ed1756a6b531e7e0d2', 'C020'),
('ST097', 'Qasim Ghufran', 'qasimghufran', '200820e3227815ed1756a6b531e7e0d2', 'C020'),
('ST098', 'Rafiq Hisham', 'rafiqhisham', '200820e3227815ed1756a6b531e7e0d2', 'C020'),
('ST099', 'Sami Imad', 'samiimad', '200820e3227815ed1756a6b531e7e0d2', 'C020'),
('ST100', 'Tariq Jafar', 'tariqjafar', '200820e3227815ed1756a6b531e7e0d2', 'C020');



-- Insert data into 'memorizing_record' table
INSERT INTO memorizing_record (memo_id, page, juzu, surah, date, session, status, student_id, staff_id) VALUES
-- Year 1 Students (C001)
('M001', 75, 4, 5, '2023-07-01', 'd', 'f', 'ST001', 'S002'),
('M002', 90, 5, 6, '2023-07-02', 'n', 'f', 'ST002', 'S002'),
('M003', 100, 5, 6, '2023-07-03', 'd', 'f', 'ST003', 'S002'),
('M004', 110, 6, 7, '2023-07-04', 'n', 'p', 'ST004', 'S002'),
('M005', 150, 8, 10, '2023-07-05', 'd', 'p', 'ST005', 'S002'),
-- Year 2 Students (C002)
('M006', 220, 13, 15, '2023-07-06', 'd', 'f', 'ST006', 'S003'),
('M007', 200, 11, 13, '2023-07-07', 'n', 'f', 'ST007', 'S003'),
('M008', 260, 15, 17, '2023-07-08', 'd', 'p', 'ST008', 'S003'),
('M009', 242, 14, 16, '2023-07-09', 'n', 'p', 'ST009', 'S003'),
('M010', 270, 16, 18, '2023-07-10', 'd', 'p', 'ST010', 'S003'),
-- Year 3 Students (C003)
('M011', 320, 18, 20, '2023-07-11', 'd', 'f', 'ST011', 'S004'),
('M012', 350, 20, 22, '2023-07-12', 'n', 'f', 'ST012', 'S004'),
('M013', 400, 23, 25, '2023-07-13', 'd', 'p', 'ST013', 'S004'),
('M014', 370, 21, 23, '2023-07-14', 'n', 'f', 'ST014', 'S004'),
('M015', 390, 22, 24, '2023-07-15', 'd', 'p', 'ST015', 'S004'),
-- Year 4 Students (C004)
('M016', 450, 26, 28, '2023-07-16', 'd', 'f', 'ST016', 'S005'),
('M017', 480, 27, 29, '2023-07-17', 'n', 'f', 'ST017', 'S005'),
('M018', 500, 29, 30, '2023-07-18', 'd', 'p', 'ST018', 'S005'),
('M019', 520, 30, 41, '2023-07-19', 'n', 'p', 'ST019', 'S005'),
('M020', 502, 29, 30, '2023-07-20', 'd', 'p', 'ST020', 'S005'),
-- Year 5 Students (C005)
('M021', 550, 30, 39, '2023-07-21', 'd', 'f', 'ST021', 'S006'),
('M022', 570, 30, 40, '2023-07-22', 'n', 'f', 'ST022', 'S006'),
('M023', 600, 30, 41, '2023-07-23', 'd', 'f', 'ST023', 'S006'),
('M024', 604, 30, 41, '2023-07-24', 'n', 'p', 'ST024', 'S006'),
('M025', 604, 30, 41, '2023-07-25', 'd', 'p', 'ST025', 'S006'),

-- Continue the same pattern for the remaining students
-- Here is the rest of the dataset:
('M026', 123, 6, 9, '2023-07-26', 'd', 'f', 'ST026', 'S007'),
('M027', 150, 8, 10, '2023-07-27', 'n', 'p', 'ST027', 'S007'),
('M028', 180, 10, 12, '2023-07-28', 'd', 'p', 'ST028', 'S007'),
('M029', 200, 11, 13, '2023-07-29', 'n', 'p', 'ST029', 'S007'),
('M030', 220, 13, 15, '2023-07-30', 'd', 'p', 'ST030', 'S007'),
('M031', 50, 3, 4, '2023-07-31', 'd', 'f', 'ST031', 'S008'),
('M032', 90, 5, 6, '2023-08-01', 'n', 'f', 'ST032', 'S008'),
('M033', 130, 6, 8, '2023-08-02', 'd', 'p', 'ST033', 'S008'),
('M034', 170, 9, 11, '2023-08-03', 'n', 'p', 'ST034', 'S008'),
('M035', 210, 12, 14, '2023-08-04', 'd', 'p', 'ST035', 'S008'),
('M036', 100, 5, 6, '2023-08-05', 'd', 'f', 'ST036', 'S009'),
('M037', 150, 8, 10, '2023-08-06', 'n', 'p', 'ST037', 'S009'),
('M038', 200, 11, 13, '2023-08-07', 'd', 'p', 'ST038', 'S009'),
('M039', 250, 14, 16, '2023-08-08', 'n', 'p', 'ST039', 'S009'),
('M040', 300, 17, 19, '2023-08-09', 'd', 'p', 'ST040', 'S009'),
('M041', 320, 18, 20, '2023-08-10', 'd', 'p', 'ST041', 'S010'),
('M042', 350, 20, 22, '2023-08-11', 'n', 'f', 'ST042', 'S010'),
('M043', 400, 23, 25, '2023-08-12', 'd', 'p', 'ST043', 'S010'),
('M044', 370, 21, 23, '2023-08-13', 'n', 'f', 'ST044', 'S010'),
('M045', 390, 22, 24, '2023-08-14', 'd', 'p', 'ST045', 'S010'),
('M046', 450, 26, 28, '2023-08-15', 'd', 'f', 'ST046', 'S011'),
('M047', 480, 27, 29, '2023-08-16', 'n', 'f', 'ST047', 'S011'),
('M048', 500, 29, 30, '2023-08-17', 'd', 'p', 'ST048', 'S011'),
('M049', 520, 30, 41, '2023-08-18', 'n', 'p', 'ST049', 'S011'),
('M050', 502, 29, 30, '2023-08-19', 'd', 'p', 'ST050', 'S011'),
('M051', 550, 30, 39, '2023-08-20', 'd', 'f', 'ST051', 'S012'),
('M052', 570, 30, 40, '2023-08-21', 'n', 'f', 'ST052', 'S012'),
('M053', 600, 30, 41, '2023-08-22', 'd', 'f', 'ST053', 'S012'),
('M054', 604, 30, 41, '2023-08-23', 'n', 'p', 'ST054', 'S012'),
('M055', 604, 30, 41, '2023-08-24', 'd', 'p', 'ST055', 'S012'),
('M056', 123, 6, 9, '2023-08-25', 'd', 'f', 'ST056', 'S013'),
('M057', 150, 8, 10, '2023-08-26', 'n', 'p', 'ST057', 'S013'),
('M058', 180, 10, 12, '2023-08-27', 'd', 'p', 'ST058', 'S013'),
('M059', 200, 11, 13, '2023-08-28', 'n', 'p', 'ST059', 'S013'),
('M060', 220, 13, 15, '2023-08-29', 'd', 'p', 'ST060', 'S013'),
('M061', 50, 3, 4, '2023-08-30', 'd', 'f', 'ST061', 'S014'),
('M062', 90, 5, 6, '2023-08-31', 'n', 'f', 'ST062', 'S014'),
('M063', 130, 6, 8, '2023-09-01', 'd', 'p', 'ST063', 'S014'),
('M064', 170, 9, 11, '2023-09-02', 'n', 'p', 'ST064', 'S014'),
('M065', 210, 12, 14, '2023-09-03', 'd', 'p', 'ST065', 'S014'),
('M066', 100, 5, 6, '2023-09-04', 'd', 'f', 'ST066', 'S015'),
('M067', 150, 8, 10, '2023-09-05', 'n', 'p', 'ST067', 'S015'),
('M068', 200, 11, 13, '2023-09-06', 'd', 'p', 'ST068', 'S015'),
('M069', 250, 14, 16, '2023-09-07', 'n', 'p', 'ST069', 'S015'),
('M070', 300, 17, 19, '2023-09-08', 'd', 'p', 'ST070', 'S015'),
('M071', 320, 18, 20, '2023-09-09', 'd', 'p', 'ST071', 'S016'),
('M072', 350, 20, 22, '2023-09-10', 'n', 'f', 'ST072', 'S016'),
('M073', 400, 23, 25, '2023-09-11', 'd', 'p', 'ST073', 'S016'),
('M074', 370, 21, 23, '2023-09-12', 'n', 'f', 'ST074', 'S016'),
('M075', 390, 22, 24, '2023-09-13', 'd', 'p', 'ST075', 'S016'),
('M076', 450, 26, 28, '2023-09-14', 'd', 'f', 'ST076', 'S017'),
('M077', 480, 27, 29, '2023-09-15', 'n', 'f', 'ST077', 'S017'),
('M078', 500, 29, 30, '2023-09-16', 'd', 'p', 'ST078', 'S017'),
('M079', 520, 30, 41, '2023-09-17', 'n', 'p', 'ST079', 'S017'),
('M080', 502, 29, 30, '2023-09-18', 'd', 'p', 'ST080', 'S017'),
('M081', 550, 30, 39, '2023-09-19', 'd', 'f', 'ST081', 'S018'),
('M082', 570, 30, 40, '2023-09-20', 'n', 'f', 'ST082', 'S018'),
('M083', 600, 30, 41, '2023-09-21', 'd', 'f', 'ST083', 'S018'),
('M084', 604, 30, 41, '2023-09-22', 'n', 'p', 'ST084', 'S018'),
('M085', 604, 30, 41, '2023-09-23', 'd', 'p', 'ST085', 'S018'),
('M086', 123, 6, 9, '2023-09-24', 'd', 'f', 'ST086', 'S019'),
('M087', 150, 8, 10, '2023-09-25', 'n', 'p', 'ST087', 'S019'),
('M088', 180, 10, 12, '2023-09-26', 'd', 'p', 'ST088', 'S019'),
('M089', 200, 11, 13, '2023-09-27', 'n', 'p', 'ST089', 'S019'),
('M090', 220, 13, 15, '2023-09-28', 'd', 'p', 'ST090', 'S019'),
('M091', 50, 3, 4, '2023-09-29', 'd', 'f', 'ST091', 'S020'),
('M092', 90, 5, 6, '2023-09-30', 'n', 'f', 'ST092', 'S020'),
('M093', 130, 6, 8, '2023-10-01', 'd', 'p', 'ST093', 'S020'),
('M094', 170, 9, 11, '2023-10-02', 'n', 'p', 'ST094', 'S020'),
('M095', 210, 12, 14, '2023-10-03', 'd', 'p', 'ST095', 'S020'),
('M096', 100, 5, 6, '2023-10-04', 'd', 'f', 'ST096', 'S021'),
('M097', 150, 8, 10, '2023-10-05', 'n', 'p', 'ST097', 'S021'),
('M098', 200, 11, 13, '2023-10-06', 'd', 'p', 'ST098', 'S021'),
('M099', 250, 14, 16, '2023-10-07', 'n', 'p', 'ST099', 'S021'),
('M100', 300, 17, 19, '2023-10-08', 'd', 'p', 'ST100', 'S021');


